"No.","Time","Source","Destination","Protocol","Length","Info"
"8218","51.219683","10.18.110.249","103.144.182.237","QUIC","78","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8219","51.219805","10.18.110.249","103.144.182.237","QUIC","78","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8220","51.220014","10.18.110.249","103.144.182.237","QUIC","78","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8221","51.220237","10.18.110.249","103.144.182.237","QUIC","80","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8222","51.220346","10.18.110.249","103.144.182.237","QUIC","80","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8223","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8224","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8225","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8226","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8227","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8228","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8229","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8230","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8231","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8232","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8233","51.220422","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8234","51.220776","10.18.110.249","103.144.182.237","QUIC","80","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8235","51.220965","10.18.110.249","103.144.182.237","QUIC","80","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8236","51.221149","10.18.110.249","103.144.182.237","QUIC","82","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8237","51.221324","10.18.110.249","103.144.182.237","QUIC","82","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8238","51.221469","10.18.110.249","103.144.182.237","QUIC","82","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8239","51.221601","10.18.110.249","103.144.182.237","QUIC","82","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8240","51.235030","10.18.110.249","103.144.182.237","QUIC","83","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8241","51.237777","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8242","51.237777","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8243","51.237777","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8244","51.237777","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8245","51.237777","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8246","51.237777","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8247","51.237777","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8248","51.238411","10.18.110.249","103.144.182.237","QUIC","84","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8249","51.238614","10.18.110.249","103.144.182.237","QUIC","84","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8250","51.238727","10.18.110.249","103.144.182.237","QUIC","84","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8251","51.238838","10.18.110.249","103.144.182.237","QUIC","89","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8252","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8253","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8254","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8255","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8256","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8257","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8258","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8259","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8260","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8261","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8262","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8263","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8264","51.240299","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8265","51.240884","10.18.110.249","103.144.182.237","QUIC","86","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8266","51.241080","10.18.110.249","103.144.182.237","QUIC","86","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8267","51.241203","10.18.110.249","103.144.182.237","QUIC","86","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8268","51.241328","10.18.110.249","103.144.182.237","QUIC","86","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8269","51.254778","10.18.110.249","103.144.182.237","QUIC","87","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8270","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8271","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8272","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8273","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8274","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8275","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8276","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8277","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8278","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8279","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8280","51.269033","103.144.182.237","10.18.110.249","QUIC","1292","Protected Payload (KP0)"
"8281","51.269602","10.18.110.249","103.144.182.237","QUIC","88","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8282","51.270009","10.18.110.249","103.144.182.237","QUIC","88","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
"8283","51.270248","10.18.110.249","103.144.182.237","QUIC","88","Protected Payload (KP0), DCID=d6670abc2cbe3bf5"
